8
Training arguments:
	data_root: /home/sjhu/datasets/medium_dataset/features
	train_list: /home/sjhu/projects/compressed_video_compare/data/datalists/train_sample.txt
	test_list: /home/sjhu/projects/compressed_video_compare/data/datalists/test_sample.txt
	representation: mixed
	arch: r2plus1d_18
	num_segments: 10
	no_accumulation: False
	dropout: 0.25
	keyfeatures: 128
	epochs: 250
	batch_size: 8
	lr: 0.001
	lr_steps: [50.0, 100.0, 150.0]
	lr_decay: 0.1
	weight_decay: 0.001
	gpus: [4, 5, 6, 7]
	workers: 8
	eval_freq: 5
	model_prefix: vcdb_all_r21d18_copy_detection

Initializing model:
    base model:         r2plus1d_18.
    num_segments:       10.
        
model epoch 51 lowest loss 0.24561738383353632
3600 pair videos loaded.
340 pair videos loaded.
Epoch: [51][0/450],	Time 18.920 (18.920)	Data 2.783 (2.783)	siamese Loss 0.0783 (0.0783)	classifier Loss 0.0407 (0.0407)	
Epoch: [51][20/450],	Time 0.906 (1.606)	Data 0.005 (0.136)	siamese Loss 0.0832 (0.1002)	classifier Loss 0.0445 (0.0729)	
Epoch: [51][40/450],	Time 0.908 (1.168)	Data 0.003 (0.072)	siamese Loss 0.1377 (0.1001)	classifier Loss 0.1228 (0.0729)	
Epoch: [51][60/450],	Time 0.905 (1.017)	Data 0.004 (0.050)	siamese Loss 0.0499 (0.1029)	classifier Loss 0.0298 (0.0763)	
Epoch: [51][80/450],	Time 0.912 (0.941)	Data 0.005 (0.038)	siamese Loss 0.0881 (0.1072)	classifier Loss 0.0449 (0.0795)	
Epoch: [51][100/450],	Time 0.908 (0.896)	Data 0.004 (0.032)	siamese Loss 0.1318 (0.1075)	classifier Loss 0.1210 (0.0793)	
Epoch: [51][120/450],	Time 0.911 (0.865)	Data 0.003 (0.027)	siamese Loss 0.1354 (0.1049)	classifier Loss 0.0827 (0.0761)	
Epoch: [51][140/450],	Time 0.916 (0.843)	Data 0.005 (0.024)	siamese Loss 0.1257 (0.1058)	classifier Loss 0.0716 (0.0765)	
Epoch: [51][160/450],	Time 0.906 (0.826)	Data 0.005 (0.022)	siamese Loss 0.2010 (0.1063)	classifier Loss 0.1867 (0.0766)	
Epoch: [51][180/450],	Time 0.912 (0.814)	Data 0.005 (0.020)	siamese Loss 0.1685 (0.1054)	classifier Loss 0.1225 (0.0752)	
Epoch: [51][200/450],	Time 0.911 (0.804)	Data 0.005 (0.018)	siamese Loss 0.1308 (0.1045)	classifier Loss 0.0774 (0.0741)	
Epoch: [51][220/450],	Time 0.939 (0.795)	Data 0.005 (0.017)	siamese Loss 0.2078 (0.1052)	classifier Loss 0.1393 (0.0744)	
Epoch: [51][240/450],	Time 0.921 (0.788)	Data 0.004 (0.016)	siamese Loss 0.0570 (0.1035)	classifier Loss 0.0355 (0.0727)	
Epoch: [51][260/450],	Time 0.917 (0.782)	Data 0.006 (0.015)	siamese Loss 0.0923 (0.1031)	classifier Loss 0.0721 (0.0722)	
Epoch: [51][280/450],	Time 0.912 (0.778)	Data 0.006 (0.014)	siamese Loss 0.0179 (0.1009)	classifier Loss 0.0068 (0.0705)	
Epoch: [51][300/450],	Time 0.912 (0.773)	Data 0.005 (0.014)	siamese Loss 0.0405 (0.1004)	classifier Loss 0.0134 (0.0701)	
Epoch: [51][320/450],	Time 0.919 (0.769)	Data 0.005 (0.013)	siamese Loss 0.1046 (0.1010)	classifier Loss 0.0881 (0.0709)	
Epoch: [51][340/450],	Time 0.913 (0.766)	Data 0.005 (0.013)	siamese Loss 0.1081 (0.1011)	classifier Loss 0.0974 (0.0711)	
Epoch: [51][360/450],	Time 0.910 (0.763)	Data 0.005 (0.012)	siamese Loss 0.0557 (0.1017)	classifier Loss 0.0224 (0.0716)	
Epoch: [51][380/450],	Time 0.908 (0.760)	Data 0.004 (0.012)	siamese Loss 0.0478 (0.1024)	classifier Loss 0.0231 (0.0725)	
Epoch: [51][400/450],	Time 0.912 (0.758)	Data 0.005 (0.011)	siamese Loss 0.1914 (0.1029)	classifier Loss 0.1711 (0.0731)	
Epoch: [51][420/450],	Time 0.913 (0.755)	Data 0.004 (0.011)	siamese Loss 0.0385 (0.1024)	classifier Loss 0.0184 (0.0728)	
Epoch: [51][440/450],	Time 0.914 (0.753)	Data 0.005 (0.011)	siamese Loss 0.0459 (0.1020)	classifier Loss 0.0187 (0.0724)	
Epoch: [52][0/450],	Time 4.390 (4.390)	Data 3.630 (3.630)	siamese Loss 0.0457 (0.0457)	classifier Loss 0.0362 (0.0362)	
Epoch: [52][20/450],	Time 0.908 (0.882)	Data 0.003 (0.176)	siamese Loss 0.1459 (0.1174)	classifier Loss 0.1049 (0.0842)	
Epoch: [52][40/450],	Time 0.915 (0.798)	Data 0.005 (0.092)	siamese Loss 0.0664 (0.1192)	classifier Loss 0.0351 (0.0874)	
Epoch: [52][60/450],	Time 0.909 (0.769)	Data 0.005 (0.063)	siamese Loss 0.0615 (0.1171)	classifier Loss 0.0388 (0.0851)	
Epoch: [52][80/450],	Time 0.915 (0.755)	Data 0.005 (0.049)	siamese Loss 0.1572 (0.1139)	classifier Loss 0.1392 (0.0830)	
Epoch: [52][100/450],	Time 0.962 (0.746)	Data 0.005 (0.040)	siamese Loss 0.0801 (0.1132)	classifier Loss 0.0596 (0.0832)	
Epoch: [52][120/450],	Time 0.912 (0.740)	Data 0.003 (0.034)	siamese Loss 0.0575 (0.1115)	classifier Loss 0.0433 (0.0817)	
Epoch: [52][140/450],	Time 0.911 (0.736)	Data 0.005 (0.030)	siamese Loss 0.1737 (0.1129)	classifier Loss 0.1337 (0.0823)	
Epoch: [52][160/450],	Time 0.920 (0.733)	Data 0.005 (0.027)	siamese Loss 0.2148 (0.1129)	classifier Loss 0.1991 (0.0813)	
Epoch: [52][180/450],	Time 0.930 (0.732)	Data 0.005 (0.024)	siamese Loss 0.0974 (0.1119)	classifier Loss 0.0726 (0.0803)	
Epoch: [52][200/450],	Time 0.915 (0.731)	Data 0.004 (0.022)	siamese Loss 0.1912 (0.1121)	classifier Loss 0.1633 (0.0806)	
Epoch: [52][220/450],	Time 0.921 (0.730)	Data 0.004 (0.021)	siamese Loss 0.0970 (0.1115)	classifier Loss 0.0528 (0.0800)	
Epoch: [52][240/450],	Time 0.921 (0.730)	Data 0.003 (0.019)	siamese Loss 0.0562 (0.1106)	classifier Loss 0.0251 (0.0787)	
Epoch: [52][260/450],	Time 0.919 (0.729)	Data 0.005 (0.018)	siamese Loss 0.2329 (0.1113)	classifier Loss 0.1870 (0.0795)	
Epoch: [52][280/450],	Time 0.924 (0.728)	Data 0.004 (0.017)	siamese Loss 0.0860 (0.1109)	classifier Loss 0.0395 (0.0790)	
Epoch: [52][300/450],	Time 0.916 (0.728)	Data 0.004 (0.016)	siamese Loss 0.0463 (0.1103)	classifier Loss 0.0239 (0.0784)	
Epoch: [52][320/450],	Time 0.944 (0.728)	Data 0.005 (0.015)	siamese Loss 0.1208 (0.1104)	classifier Loss 0.0900 (0.0784)	
Epoch: [52][340/450],	Time 0.918 (0.727)	Data 0.009 (0.015)	siamese Loss 0.1342 (0.1105)	classifier Loss 0.1393 (0.0787)	
Epoch: [52][360/450],	Time 0.910 (0.726)	Data 0.005 (0.014)	siamese Loss 0.0875 (0.1115)	classifier Loss 0.0595 (0.0796)	
Epoch: [52][380/450],	Time 0.913 (0.726)	Data 0.005 (0.014)	siamese Loss 0.0931 (0.1107)	classifier Loss 0.0480 (0.0787)	
